사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
인천 25계 2022-1352(4),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 3층 302호","308,000,000","105,644,000",낙찰,"159,000,000",51.60%,2023-07-21,2023_3Q,3
인천 25계 2022-1352(5),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 4층 401호","306,000,000","104,958,000",낙찰,"159,000,000",52.00%,2023-07-21,2023_3Q,3
인천 25계 2022-1352(6),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 4층 402호","308,000,000","105,644,000",낙찰,"159,000,000",51.60%,2023-07-21,2023_3Q,3
인천 25계 2022-1352(9),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 6층 601호","306,000,000","104,958,000",낙찰,"159,000,000",52.00%,2023-07-21,2023_3Q,3
인천 25계 2022-1352(10),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 6층 602호","308,000,000","105,644,000",낙찰,"163,999,000",53.20%,2023-07-21,2023_3Q,3
인천 23계 2022-1543,숙박시설,숙박시설,숙박시설,인천,중구,인천 중구 운서동 3098-2 센트럴타워1 9층 902호,"144,000,000","49,392,000",낙찰,"68,200,000",47.40%,2023-09-20,2023_3Q,3
인천 26계 2022-1789,다세대,다세대주택,다세대,인천,남동구,인천 남동구 구월동 291-8 연승빌라 8동 3층 302호,"92,000,000","7,576,000",낙찰,"7,600,000",8.30%,2023-08-17,2023_3Q,3
인천 3계 2022-1826,다세대,다세대주택,다세대,인천,부평구,인천 부평구 갈산동 176 대우하이츠빌라 1층 102호,"128,000,000","62,720,000",낙찰,"120,000,000",93.80%,2023-09-04,2023_3Q,3
인천 16계 2022-1932,오피스텔(상가),근린상가,오피스텔(업무용),인천,중구,인천 중구 운서동 2806-2 두손에어파스텔 2층 202호,"420,000,000","205,800,000",낙찰,"300,100,000",71.50%,2023-08-11,2023_3Q,3
인천 13계 2022-2140,유지,기타토지,기타토지,인천,강화군,인천 강화군 화도면 여차리 168-3,"8,499,082,200","5,949,358,000",낙찰,"6,200,000,010",72.90%,2023-07-03,2023_3Q,3
