사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
충주 2계 2007-8620,답,충북 충주시 앙성면 단암리 423-3,"46,808,000","35,106,000",낙찰(1/2),"37,861,300",80.9%,2008.08.12
충주 1계 2007-8675(1),아파트,충북 충주시 호암동 905 수채 101동 2층 202호,"146,000,000","82,125,000",낙찰(2/3),"95,111,100",65.1%,2008.07.14
충주 1계 2007-8675(2),아파트,충북 충주시 호암동 905 수채 101동 2층 203호,"146,000,000","82,125,000",낙찰(2/3),"95,550,000",65.4%,2008.07.14
충주 1계 2007-8675(3),아파트,충북 충주시 호암동 905 수채 101동 2층 205호,"146,000,000","82,125,000",낙찰(2/3),"103,020,000",70.6%,2008.07.14
충주 1계 2007-8675(4),아파트,충북 충주시 호암동 905 수채 101동 3층 301호,"146,000,000","82,125,000",낙찰(2/3),"90,500,000",62.0%,2008.07.14
충주 1계 2007-8675(5),아파트,충북 충주시 호암동 905 수채 101동 3층 302호,"146,000,000","82,125,000",낙찰(2/3),"95,230,000",65.2%,2008.07.14
충주 1계 2007-8675(6),아파트,충북 충주시 호암동 905 수채 101동 3층 303호,"146,000,000","82,125,000",낙찰(2/3),"98,620,000",67.5%,2008.07.14
충주 1계 2007-8675(7),아파트,충북 충주시 호암동 905 수채 101동 3층 304호,"146,000,000","82,125,000",낙찰(2/3),"105,560,000",72.3%,2008.07.14
충주 1계 2007-8675(8),아파트,충북 충주시 호암동 905 수채 104동 1층 102호,"143,000,000","80,438,000",낙찰(2/3),"102,020,000",71.3%,2008.07.14
충주 1계 2007-8675(9),아파트,충북 충주시 호암동 905 수채 104동 1층 104호,"143,000,000","80,438,000",낙찰(2/3),"95,111,100",66.5%,2008.07.14
충주 1계 2007-8675(10),아파트,충북 충주시 호암동 905 수채 104동 2층 202호,"146,000,000","82,125,000",낙찰(2/3),"95,111,100",65.1%,2008.07.14
충주 1계 2007-8675(11),아파트,충북 충주시 호암동 905 수채 104동 2층 203호,"146,000,000","82,125,000",낙찰(2/3),"96,111,000",65.8%,2008.07.14
충주 1계 2007-8675(12),아파트,충북 충주시 호암동 905 수채 104동 3층 304호,"146,000,000","82,125,000",낙찰(2/3),"98,010,000",67.1%,2008.07.14
충주 1계 2007-8675(13),아파트,충북 충주시 호암동 905 수채 101동 1층 101호,"150,000,000","84,375,000",낙찰(2/3),"97,999,999",65.3%,2008.07.14
충주 1계 2007-8675(14),아파트,충북 충주시 호암동 905 수채 101동 1층 102호,"150,000,000","84,375,000",낙찰(2/3),"97,999,999",65.3%,2008.07.14
충주 1계 2007-8675(15),아파트,충북 충주시 호암동 905 수채 101동 1층 103호,"150,000,000","84,375,000",낙찰(2/3),"97,999,999",65.3%,2008.07.14
충주 1계 2007-8675(16),아파트,충북 충주시 호암동 905 수채 101동 1층 104호,"150,000,000","84,375,000",낙찰(2/3),"90,011,320",60.0%,2008.07.14
충주 1계 2007-8675(17),아파트,충북 충주시 호암동 905 수채 101동 1층 105호,"150,000,000","84,375,000",낙찰(2/3),"90,010,990",60.0%,2008.07.14
충주 1계 2007-8675(18),아파트,충북 충주시 호암동 905 수채 101동 1층 106호,"150,000,000","84,375,000",낙찰(2/3),"95,111,100",63.4%,2008.07.14
충주 1계 2007-8675(19),아파트,충북 충주시 호암동 905 수채 101동 1층 107호,"150,000,000","84,375,000",낙찰(2/3),"95,111,100",63.4%,2008.07.14
충주 1계 2007-8675(20),아파트,충북 충주시 호암동 905 수채 101동 1층 108호,"150,000,000","84,375,000",낙찰(2/3),"95,111,100",63.4%,2008.07.14
충주 1계 2007-8675(21),아파트,충북 충주시 호암동 905 수채 101동 2층 201호,"154,000,000","86,625,000",낙찰(2/3),"95,111,100",61.8%,2008.07.14
충주 1계 2007-8675(22),아파트,충북 충주시 호암동 905 수채 101동 2층 204호,"154,000,000","86,625,000",낙찰(2/3),"95,111,000",61.8%,2008.07.14
충주 1계 2007-8675(23),아파트,충북 충주시 호암동 905 수채 101동 2층 206호,"154,000,000","86,625,000",낙찰(2/3),"96,626,000",62.7%,2008.07.14
충주 1계 2007-8675(24),아파트,충북 충주시 호암동 905 수채 101동 2층 207호,"154,000,000","86,625,000",낙찰(2/3),"99,299,999",64.5%,2008.07.14
