사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
울산 8계 2000-999,단독주택,경남 양산시 상북면 대석리 570-6,"62,491,700","31,995,740",낙찰(3/4),"35,100,000",56.2%,2001.01.19
울산 6계 2000-1367,단독주택,경남 양산시 삼호동 208-2,"111,050,000","45,486,202",낙찰(8/10),"47,000,000",42.3%,2001.02.07
울산 8계 2000-1534(1),대지,경남 양산시 원동면 선리 108,"1,484,355,000","486,393,440",낙찰(5/6),"614,000,000",41.4%,2001.06.22
울산 8계 2000-1534,대지,경남 양산시 원동면 선리 110-2,"24,837,000","19,869,600",낙찰(1/2),"23,600,000",95.0%,2001.02.23
울산 3계 2000-2025,공장,경남 양산시 소주동 401-3,"5,201,992,320","4,161,593,850",낙찰(1/2),"4,300,000,000",82.7%,2001.05.11
울산 7계 2000-2414(1),근린상가,경남 양산시 상북면 상삼리 32-1,"507,678,580","207,945,130",낙찰(5/6),"210,100,000",41.4%,2001.04.25
울산 7계 2000-2414,단독주택,경남 양산시 상북면 상삼리 32-5,"64,192,000","41,082,880",낙찰(3/4),"45,380,000",70.7%,2001.02.28
울산 5계 2000-2438,임야,경남 양산시 명곡동 산71,"53,630,000","34,323,200",낙찰(2/3),"34,323,500",64.0%,2001.01.18
울산 5계 2000-2438,임야,경남 양산시 명곡동 산71-1,"599,964,000","383,976,960",낙찰(2/3),"383,976,960",64.0%,2001.01.18
울산 5계 2000-2438,임야,경남 양산시 명곡동 산71-2,"206,349,000","132,063,360",낙찰(2/3),"132,063,360",64.0%,2001.01.18
울산 5계 2000-2438,임야,경남 양산시 명곡동 산79,"1,980,000","1,267,200",낙찰(2/3),"5,000,000",252.5%,2001.01.18
울산 5계 2000-2438,임야,경남 양산시 명곡동 561,"325,000,000","208,000,000",낙찰(2/3),"364,000,000",112.0%,2001.01.18
울산 5계 2000-2438,임야,경남 양산시 명곡동 567,"56,888,000","36,408,320",낙찰(2/4),"70,000,000",123.0%,2001.03.15
울산 5계 2000-2438,임야,경남 양산시 유산동 산12,"110,082,000","56,361,984",낙찰(3/4),"58,000,000",52.7%,2001.03.15
울산 5계 2000-2438,임야,경남 양산시 명곡동 산71-5,"4,984,000","2,551,808",낙찰(3/4),"5,000,000",100.3%,2001.03.15
울산 8계 2000-2964,대지,경남 양산시 어곡동 564-2,"35,872,000","9,403,610",낙찰(6/7),"11,600,000",32.3%,2001.05.18
울산 6계 2000-3516,공장,경남 양산시 북정동 175,"184,375,840",0,취하(0/0),0,0%,2001.06.14
울산 7계 2000-3660,상가,경남 양산시 평산동 564,"26,000,000","4,362,070",낙찰(8/9),"5,100,000",19.6%,2001.01.31
울산 3계 2000-3783,임야,경남 양산시 호계동 899,"63,840,000","13,388,200",낙찰(7/8),"21,300,000",33.4%,2001.02.16
울산 6계 2000-3912,임야,경남 양산시 물금읍 가촌리 산35,"45,218,000","11,853,627",낙찰(6/7),"12,270,000",27.1%,2001.03.07
울산 5계 2000-3929,답,경남 양산시 어곡동 1879-2,"26,980,000","8,840,800",유찰(8/9),0,0%,2001.01.18
울산 5계 2000-3929,답,경남 양산시 어곡동 1879,"98,252,000","20,603,014",낙찰(7/9),"26,770,000",27.2%,2001.03.15
울산 6계 2000-5307,잡종지,경남 양산시 원동면 원리 497,"5,251,000","4,200,800",낙찰(2/5),"5,010,000",95.4%,2001.02.07
울산 4계 2000-5345,단독주택,경남 양산시 원동면 용당리 1205,"26,675,500","8,740,990",낙찰(5/6),"10,220,000",38.3%,2001.01.26
울산 4계 2000-6256,연립,경남 양산시 북부동 769 외2,"47,000,000","30,080,000",취하(3/3),0,0%,2001.01.29
울산 8계 2000-7129,단독주택,경남 양산시 교동 171,"83,776,260","32,714,750",낙찰(4/5),"34,000,000",40.6%,2001.03.23
울산 8계 2000-7129,연립,경남 밀양시 교동 253-8 덕성 다동 304호,"25,000,000","10,240,000",낙찰(4/5),"11,100,000",44.4%,2001.03.23
울산 1계 2000-7242,임야,경남 양산시 어곡동 608-2,"918,485,000","587,830,400",낙찰(2/4),"710,000,000",77.3%,2001.03.08
울산 4계 2000-7433,아파트,경남 양산시 평산동 51-5,"42,000,000","21,504,000",낙찰(3/5),"22,230,000",52.9%,2001.02.20
울산 2계 2000-7587(2),대지,경남 양산시 동면 법기리 산158,"20,826,600","16,661,280",낙찰(0/3),"16,800,000",80.7%,2001.01.11
울산 2계 2000-7587(4),대지,경남 양산시 동면 법기리 716,"476,000","380,800",낙찰(1/3),"430,000",90.3%,2001.01.11
울산 2계 2000-7587(5),대지,경남 양산시 동면 법기리 718,"568,000","454,400",낙찰(1/3),"460,000",81.0%,2001.01.11
울산 2계 2000-7587(6),대지,경남 양산시 동면 법기리 719,"482,000","385,600",낙찰(1/3),"390,000",80.9%,2001.01.11
울산 2계 2000-7587(8),대지,경남 양산시 동면 법기리 723,"201,000","160,800",낙찰(1/3),"170,000",84.6%,2001.01.11
울산 7계 2000-7631,임야,경남 양산시 동면 금산리 산90,"4,760,000","3,046,400",낙찰(2/4),"3,110,000",65.3%,2001.01.31
울산 7계 2000-7815,연립,경남 양산시 남부동 474-16,"45,000,000","28,800,000",낙찰(2/3),"32,110,000",71.4%,2001.01.31
울산 5계 2000-8016,단독주택,경남 양산시 상북면 대석리746,"159,884,100","65,488,527",낙찰(5/6),"75,900,000",47.5%,2001.02.15
울산 3계 2000-8054,근린상가,경남 양산시 상북면 석계리239-7외1,"24,000,000","7,864,320",낙찰(5/6),"7,900,000",32.9%,2001.01.15
울산 4계 2000-8061,아파트,경남 양산시 평산동 391,"38,000,000","24,320,000",취하(2/2),0,0%,2001.02.23
울산 4계 2000-8665,단독주택,경남 양산시 산막동 482-2,"168,878,800","69,172,700",낙찰(4/6),"76,700,000",45.4%,2001.01.26
울산 7계 2000-8672,단독주택,경남 양산시 중부동 225-5,"84,024,680","22,026,560",낙찰(6/7),"23,400,000",27.8%,2001.02.28
울산 8계 2000-9286,전,경남 양산시 중부동 108,"20,064,000","6,574,560",낙찰(6/7),"7,120,000",35.5%,2001.01.19
울산 2계 2000-9507,상가,경남 양산시 덕계동 718-45 외1,"34,000,000",0,낙찰(8/9),"5,800,000",17.1%,2001.01.11
울산 5계 2000-9859,근린주택,경남 양산시 덕계동 669-3,"307,629,950","246,103,960",낙찰(1/2),"251,700,000",81.8%,2001.01.18
울산 4계 2000-10811,답,경남 양산시 어곡동 794-12,"27,900,000","7,313,810",유찰(7/7),0,0%,2001.02.20
울산 5계 2000-11012,답,경남 양산시 주남동 318-1,"6,000,000","1,258,291",낙찰(7/8),"1,310,000",21.8%,2001.04.18
울산 6계 2000-11340,아파트,경남 양산시 덕계동 718-45,"1,000,000,000","262,144,000",낙찰(6/8),"321,000,000",32.1%,2001.02.07
울산 3계 2000-11494(1),아파트상가,경남 양산시 소주동 147-1 장백아파트 상가 127동 7호,"55,000,000","22,528,000",낙찰(4/5),"22,530,000",41.0%,2001.05.11
울산 3계 2000-11494(3),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가 127동 1층 10호,"73,000,000","29,900,800",낙찰(4/5),"29,910,000",41.0%,2001.05.11
울산 3계 2000-11494(4),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가127동 1층 11호,"63,000,000","25,804,800",낙찰(4/5),"25,810,000",41.0%,2001.05.11
울산 3계 2000-11494(5),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가127동 1층 13호,"147,000,000","60,211,200",낙찰(4/5),"60,220,000",41.0%,2001.05.11
울산 3계 2000-11494(6),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가127동 1층 14호,"158,000,000","64,716,800",낙찰(4/5),"64,720,000",41.0%,2001.05.11
울산 3계 2000-11494(7),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가 127동 1층 15호,"142,000,000","58,163,200",낙찰(4/5),"58,170,000",41.0%,2001.05.11
울산 3계 2000-11494(8),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가127동 1층 16호,"157,000,000","58,163,200",낙찰(4/5),"58,170,000",37.1%,2001.05.11
울산 3계 2000-11494(9),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가 127동 1층 17호,"169,000,000","69,222,400",낙찰(4/5),"69,230,000",41.0%,2001.05.11
울산 3계 2000-11494(11),아파트상가,경남 양산시 소주동 147-1 외26 장백아파트 상가 127동 1층 27호,"122,000,000","49,971,200",낙찰(4/5),"49,980,000",41.0%,2001.05.11
울산 5계 2000-11791,연립,경남 양산시 물금읍 범어리 549-1,"70,000,000","44,800,000",취하(2/2),0,0%,2001.02.15
울산 5계 2000-11791,연립,경남 양산시 물금읍 범어리 549-1,"70,000,000","44,800,000",취하(2/2),0,0%,2001.02.15
