사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 3계 2023-103460,아파트,아파트,아파트,울산,울주군,"울산 울주군 범서읍 천상리 324-2 ,324-15,324-27 경동태원하이빌 105동 6층 601호","118,000,000","82,600,000",낙찰,"86,700,000",73.5%,2024-02-13,2024_1Q,3
울산 4계 2023-103477,아파트,아파트,아파트,울산,북구,울산 북구 명촌동 684 평창리비에르3차 304동 7층 702호,"300,000,000","210,000,000",낙찰,"225,778,999",75.3%,2024-01-16,2024_1Q,3
울산 2계 2023-103590,아파트,아파트,아파트,울산,중구,울산 중구 유곡동 271-2 에일린의뜰3차 305동 5층 504호,"745,000,000","521,500,000",낙찰,"671,983,000",90.2%,2024-01-03,2024_1Q,3
울산 2계 2023-103668,답,답,답,울산,울주군,울산 울주군 범서읍 천상리 92,"441,666,000","216,416,000",낙찰,"258,530,000",58.5%,2024-06-26,2024_2Q,3
울산 3계 2023-103675,오피스텔(주거),오피스텔,오피스텔(업무용),울산,북구,울산 북구 명촌동 870-1 씨앤펠리스파크 5층 502호,"251,000,000","86,093,000",낙찰,"90,000,000",35.9%,2024-03-19,2024_1Q,3
울산 6계 2023-103866,임야,임야,임야,울산,울주군,울산 울주군 언양읍 다개리 1005-23,"261,226,000","128,001,000",낙찰,"132,100,000",50.6%,2024-02-29,2024_1Q,3
울산 2계 2023-103958,아파트,아파트,아파트,울산,북구,울산 북구 염포동 326 외 28필지 염포성원상떼빌 106동 23층 2303호,"255,000,000","178,500,000",낙찰,"190,999,000",74.9%,2024-06-26,2024_2Q,3
울산 4계 2023-103972,오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1875 극동스타클래스 4층 409호,"191,000,000","133,700,000",낙찰,"144,750,000",75.8%,2024-01-16,2024_1Q,3
울산 8계 2023-104012,다세대,다세대주택,다세대,울산,북구,울산 북구 신현동 538 센텀빌 B동 2층 202호,"192,000,000","65,856,000",낙찰,"81,000,000",42.2%,2024-03-21,2024_1Q,3
울산 9계 2023-104036,아파트,아파트,아파트,울산,동구,울산 동구 방어동 363-4 트윈 9층 901호,"104,000,000","72,800,000",낙찰,"100,100,000",96.3%,2024-02-21,2024_1Q,3
울산 3계 2023-104074,오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1875 극동스타클래스 3층 305호,"266,000,000","186,200,000",낙찰,"187,310,000",70.4%,2024-01-09,2024_1Q,3
울산 4계 2023-104081,오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1875 극동스타클래스 3층 307호,"276,000,000","135,240,000",낙찰,"190,508,000",69.0%,2024-02-20,2024_1Q,3
울산 2계 2023-104128,아파트,아파트,아파트,울산,북구,울산 북구 매곡동 917 오토밸리로효성해링턴플레이스 107동 10층 1001호,"320,000,000","224,000,000",낙찰,"303,619,900",94.9%,2024-01-03,2024_1Q,3
울산 8계 2023-104203,아파트,아파트,아파트,울산,동구,"울산 동구 방어동 907-2 ,907-3,907-9 삼양비둘기 4층 403호","100,000,000","49,000,000",낙찰,"70,333,000",70.3%,2024-02-15,2024_1Q,3
울산 2계 2023-104241,아파트,아파트,아파트,울산,동구,울산 동구 서부동 257-4 현대패밀리서부 105동 6층 606호,"96,000,000","47,040,000",낙찰,"66,999,999",69.8%,2024-02-07,2024_1Q,3
